Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C2, C3, C4, C6, C7, C8, C9",0402,9,100n,C309458
"C11, C12",1206,2,47u,C94034
C13,0402,1,6800p,C2760541
C14,0402,1,39p,C5186878
C15,0402,1,0.1u,C56392
"C16, C17",1206,2,2.2u,C170101
C5,0402,1,10u,C315248
"CN1, CN2",CONN-SMD_DF40C-100DS-0.4V-51,2,DF40C-100DS-0.4V(51),C597931
D1,0402,1,LED-RED,C434445
"D10, D3, D4, D5, D6, D7, D8, D9",TO-277A_L4.7-W6.1-LS6.6-TR,8,SB10100L,C113946
D11,0402,1,LED-Green,C434446
D2,SMC_L7.1-W6.2-LS8.1-RD,1,B560C-13-F,C85100
FB1,0603,1,MPZ1608D101BTA00,C87554
HDMI0,HDMI-SMD_HDMI-101S,1,HDMI-101S,C720620
J1,TF-SMD_TF-018,1,Micro_SD_Card_Det,C961679
"J4, J5",FPC-SMD_22P-P0.50_FH12-22S-0.5SH-55,2,Conn_01x22_Female,C597981
L2,IND-SMD_L11.5-W10.0_FXL1040,1,FXL1040-8R2-M,C167232
"R1, R2",0402,2,1k,C11702
"R10, R11",0402,2,470,C25167
R12,0805,1,0R,C17477
"R14, R15",0402,2,2.2k,C25879
R3,0402,1,12k,C102781
R4,0805,1,53.6k,C21398
R5,0805,1,10.2k,C217771
R6,0805,1,13k,C445658
R9,0603,1,162k,C22815
RJ2,RJ45-TH_R-RJ45R08P-C000,1,R-RJ45R08P-C000,C386757
U1,SMD-24_L15.1-W7.1-P1.00-LS10.0-BL,1,QG2439S,C3003223
U2,SOT-353_SC-70-5,1,74LVC1G07SE-7,C7464692
U3,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,1,AP2331SA-7,C500764
U4,SOT-23-5,1,RT9742GGJ5,C250547
U5,SOIC-8_L5.0-W4.0-P1.27-LS6.0-BL-EP2.0,1,TPS54360BDDAR,C524806
"U6, U7",SOIC-8_L5.0-W4.0-P1.27-LS6.0-BL,2,M24C64-WMN6TP,C7999
"U8, U9",SOT-23-5_L2.9-W1.6-P0.95-LS2.8-BR,2,74LVC1G125GV-TP,C3040595
